Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbw,volatility_bbp,volatility_kcw,volatility_kcp,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_visual_ichimoku_a,trend_stc,momentum_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,Year,Month,day,Weekday_Name,Day_of_Week,weekend
2014-09-17,465.86401399999994,468.174011,452.421997,457.334015,457.334015,21056800.0,-7924335.716715237,-0.3763314329202556,0.0,50.0,0.0,0.0,18615723.905059487,1000.0,0.0,0.0,0.0,6.858990109978914,0.4372780945132913,3.4443127961955837,0.3118342835398722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.52378012623372,1.0,0.0,7024.475718618774,-938.8738779409192,-938.8738779409192,0.0,7316.732523493339,0.0,100.0,0.0,0.0,0.0,0.0,31.183428353987217,31.183428353987217,-68.81657164601279,0.0,0.0,0.0,0.0,0.0,2014,9,17,Wednesday,2,0
2014-09-18,456.85998499999994,456.85998499999994,413.10400400000003,424.44000199999994,424.44000199999994,34483200.0,-24540196.10736686,-0.4418472471618088,-1134290829.0816028,0.0,-3212.3666906720296,-3212.3666906720296,-22249903.53657343,1000.0,0.0,14.921742925432598,0.25,13.360903544597075,0.14796326387179715,12.490730263829033,0.2058470412033888,0.0,-2.6240238290598654,-0.5248047658119731,-2.0992190632478924,0.0,0.0,0.0,0.0006274000318286836,0.007785267590765481,-0.007157867558936797,-0.014047964295984284,2.2655635883404184,-66.6666666666668,7040.922725118777,-941.0721437463294,-939.9730108436244,-1.0991329027051506,7316.732523493339,0.0,0.0,0.0,0.0,-100.0,18.8989918229668,20.584704120338877,25.884066237163054,-79.41529587966112,0.0,0.0,4.857081048542589,0.9714162097085176,3.8856648388340713,2014,9,18,Thursday,3,0
2014-09-19,424.10299699999996,427.834991,384.532013,394.79599,394.79599,37919700.0,-44483907.08199772,-0.4759688623224526,-1132833859.4751446,0.0,-3288.687640357556,-3250.527165514793,-5128636.1748927925,1000.0,0.0,24.010463425089554,0.19925312605695766,15.900665388527068,-0.029017945065714045,19.656265823578924,0.12271319726245672,0.0,-7.014744038960773,-1.8227926204417328,-5.191951418519038,0.0,0.0,0.0,0.0026934366334863593,0.017900716322637327,-0.01520727968915097,-0.04954286049482197,3.6461502257954272,-100.0000000000003,7056.286397952109,-943.1256138799388,-941.023878522396,-2.101735357542907,7316.732523493339,0.0,0.0,0.0,0.0,-100.0,20.912982884843323,12.271319726245673,21.346484066857254,-87.72868027375429,0.0,0.0,9.35181683504248,2.64749633477531,6.704320500267169,2014,9,19,Friday,4,0
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600.0,-39376866.07056365,-0.3021475520537283,-896704487.7605244,33.25712577965774,36.798833665333866,-2154.7518324547505,-1331094.41891626,1035.7349171656988,0.0,22.08198757916913,0.3660400722065608,16.021385614711388,0.2617500964422804,19.850083252456034,0.29138446692772696,0.0,-9.249402231459099,-3.3081145426452068,-5.941287688813894,0.0,0.0,0.0,0.008102132609705477,0.02312479116132997,-0.01502265855162449,-0.09179862122384502,4.9850619801662335,-58.48308353508688,7060.441233868774,-943.6809388700943,-941.6881436093204,-1.9927952607738464,7316.732523493339,0.0,20.155071897122625,0.0,0.0,-99.04957689171972,29.715849457545403,29.138446692772703,20.664823513119085,-70.8615533072273,0.0,0.0,12.071627254278708,4.53232251867599,7.539304735602717,2014,9,20,Saturday,5,1
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100.0,-50377628.57305844,-0.32107416775581943,-806890498.5858498,26.899819965939546,-274.1203549554848,-1684.5939630799344,661891.0671550239,1010.1951998043344,0.0,21.75942818615468,0.30113816404262705,14.792460979111073,0.1529931324813242,20.06481747504905,0.17083524236233555,0.0,-11.69913664174743,-4.986318962465652,-6.712817679281779,0.0,0.0,0.0,0.011224641531016242,0.027263103144602733,-0.016038461613586488,-0.140976511234459,6.182824891925613,-63.11087508521266,7064.9507310187755,-944.2836669947802,-942.2072482864123,-2.076418708367896,7316.732523493339,0.0,17.44833343574703,0.0,0.0,-98.28527480231855,29.66531833633148,17.083524236233554,19.49776355175064,-82.91647576376644,0.0,0.0,10.90756374108546,5.807370763157884,5.100192977927575,2014,9,21,Sunday,6,1
2014-09-22,399.100006,406.91598500000003,397.130005,402.152008,402.152008,24127600.0,-49741458.44828804,-0.2747676279106233,-680139157.2400997,37.722075657629105,-31.656616716747106,-1354.0064938072967,-453910.43627441255,1018.6324536882961,0.0,20.669553249801297,0.3569184496501758,13.198914578805807,0.2241939780132772,20.18349813052381,0.21065966166901007,0.0,-13.219400414574466,-6.632935252887414,-6.586465161687053,0.0,0.0,0.0,0.013122461388626059,0.02935649085468159,-0.016234029466055528,-0.19110109226038985,7.22206131097863,-54.48101377671428,7067.401896785445,-944.611283688326,-942.607920853398,-2.0033628349279984,7316.732523493339,0.0,21.212666636771733,0.0,0.0,-97.42940355181948,30.943888314229067,21.065966166901006,22.42931236530242,-78.93403383309901,-8.296951266666724,0.0,9.144881806311533,6.4748729717886135,2.67000883452292,2014,9,22,Monday,0,0
2014-09-23,402.09201,441.55700700000006,396.196991,435.790985,435.790985,45099500.0,-16107770.505717792,-0.07123218896043564,-366247700.0327288,51.804040696880215,1695.1360682581094,-845.8160667963957,3973972.9044505,1018.6324536882961,0.0,20.304194077352214,0.7162327914532708,14.383400479390035,0.7895170349993215,20.035807651459308,0.6128377277644655,0.0,-11.576390670611884,-7.62162633643231,-3.954764334179577,0.0,0.0,0.0,0.019189373097667297,0.030655832141876987,-0.011466459044209691,-0.22504039791918592,8.412921139286853,23.826972032194856,7064.347161333061,-944.2029953782593,-942.8357886426636,-1.3672067355952322,7316.732523493339,0.0,47.3320226868095,0.0,0.0,-94.37514659924473,43.05150299929425,61.28377277644656,33.14442105986037,-38.71622722355345,-11.5270577,0.0,13.652938628922561,7.910486103215402,5.742452525707157,2014,9,23,Tuesday,1,0
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700.0,-38258686.230379,-0.14900667721762734,-368995195.87728167,58.24985468930323,476.6278231305332,-656.8955110925488,2887903.8352558706,989.2135201487323,0.0,19.047056089683835,0.5630828199851773,13.44668117516448,0.5670225761993838,20.00141641630418,0.4623631061515294,0.0,-11.161218880662718,-8.32954484527839,-2.831674035384326,0.0,0.0,0.0,0.024663015118118824,0.033413650874135496,-0.008750635756016674,-0.2516807074678171,9.479399847806938,30.60147576164493,7063.629359493777,-944.1070557774347,-942.9946970345102,-1.1123587429245845,7316.732523493339,0.0,41.754527554763776,0.0,0.0,-91.89710555460823,42.875429924585774,46.23631061515295,42.86201651950017,-53.76368938484706,-8.264314137499982,0.0,12.827608699219587,8.893910622416243,3.9336980768033474,2014,9,24,Wednesday,2,0
2014-09-25,423.15600599999993,423.51998899999995,409.467987,411.574005,411.574005,26814400.0,-57035568.29390271,-0.2011321555534728,-360835568.429213,52.29790337448019,-635.5643668850054,-654.2291180666058,-1621495.528133688,962.0268730145233,0.0,18.09898248897612,0.42227593558462057,12.712510744345787,0.36211398293311503,20.036587068962735,0.3233063849096478,0.0,-11.636576083629448,-8.9909510929486,-2.645624990680848,0.0,0.0,0.0,0.02494444656667941,0.03702205480996964,-0.012077608243290228,-0.2768631615726503,10.45911912417552,-18.34614937106264,7064.363400507666,-944.2051658657724,-943.1291935713173,-1.0759722944551413,7316.732523493339,0.0,37.37182631820113,0.0,0.0,-89.88713588211952,43.523004932257564,32.33063849096478,46.61690729418809,-67.66936150903523,-5.888601588888887,0.0,11.001983837890165,9.315525265511026,1.6864585723791397,2014,9,25,Thursday,3,0
2014-09-26,411.428986,414.93798799999996,400.009003,404.424988,404.424988,21460800.0,-65800184.20797861,-0.21571468635230964,-331205290.6584112,48.41843036605298,-627.5012917743603,-651.2593595896897,-1109715.5203016018,945.3165210824627,25.50499860000001,17.628461736040748,0.3402502832000984,12.190258673430215,0.2398390914812077,20.099282479820687,0.2378347657357489,0.0,-12.446688341411061,-9.682098542641096,-2.7645897987699666,0.0,0.0,0.0,0.025645757083562586,0.04018057413786549,-0.014534817054302915,-0.3026294482098362,11.388794560258242,-52.333846868917256,7065.665535018777,-944.3792059118938,-943.7408966792032,-0.6383092326906308,7316.732523493339,0.0,34.9439585825144,0.0,0.0,-88.24381969668934,46.03522919295235,23.78347657357489,34.116808559897535,-76.21652342642511,-3.7367019000000137,0.0,7.947078511110614,9.041835914630944,-1.0947574035203305,2014,9,26,Friday,4,0
